Year,Date,Station,Salin_Top,Salin_Mid,Salin_Bot,Salin_Bot_1.5,Temp_Top,Temp_Mid,Temp_Bot,Temp_Bot_1.5
2001,6/28/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,6/29/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,6/30/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/1/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/2/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/3/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/4/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/5/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/6/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/7/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/8/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/9/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/10/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/11/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/12/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/13/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/14/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/15/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/16/2001,218,6.8,6.7,6.7,NA,3,3,3.1,NA
2001,7/17/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/18/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/19/2001,218,8.7,8.7,NA,NA,3.5,3.5,NA,NA
2001,7/20/2001,218,6.8,6.8,6.8,NA,9.9,9.9,9.9,NA
2001,7/21/2001,218,6,6.4,NA,NA,9.9,9.6,NA,NA
2001,7/22/2001,218,5.9,5.9,NA,NA,10.5,10.5,NA,NA
2001,7/23/2001,218,7.1,7.2,7.2,NA,9.9,9.9,9.9,NA
2001,7/24/2001,218,8.7,8.7,8.7,NA,8.7,8.7,8.7,NA
2001,7/25/2001,218,6.9,6.9,NA,NA,9.1,9.1,NA,NA
2001,7/26/2001,218,5.5,5.5,NA,NA,11.6,11.6,NA,NA
2001,7/27/2001,218,7.7,7.8,NA,NA,10.2,10.1,NA,NA
2001,7/28/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/29/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/30/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/31/2001,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,8/1/2001,218,10.3,10.5,NA,NA,6.6,6.5,NA,NA
2001,8/2/2001,218,10.9,10.9,NA,NA,6.8,5.4,NA,NA
2001,8/3/2001,218,NA,NA,NA,NA,6.3,6.3,NA,NA
2001,8/4/2001,218,NA,NA,NA,NA,6.6,6.6,NA,NA
2001,8/5/2001,218,8.2,8.4,9.5,NA,5.8,5.6,5.5,NA
2001,8/6/2001,218,9.4,9.5,NA,NA,7.7,7.6,NA,NA
2001,8/7/2001,218,11.9,12,NA,NA,6.5,6.3,NA,NA
2001,8/8/2001,218,12.7,12.7,NA,NA,7.4,7.3,NA,NA
2001,8/9/2001,218,NA,NA,NA,NA,10,9.6,NA,NA
2001,8/10/2001,218,16,16,NA,NA,8.8,7.8,NA,NA
2001,8/11/2001,218,18,18,NA,NA,NA,NA,NA,NA
2001,8/12/2001,218,14,16,NA,NA,7,6.5,NA,NA
2001,8/13/2001,218,17,17,NA,NA,5.5,5,NA,NA
2001,8/14/2001,218,16,16,NA,NA,6,6,NA,NA
2001,8/15/2001,218,14,14,NA,NA,5,4.8,NA,NA
2001,8/16/2001,218,9,9,NA,NA,4.5,4.5,NA,NA
2001,8/17/2001,218,13,13,NA,NA,3.5,3.5,NA,NA
2001,8/18/2001,218,14,14,NA,NA,2,2,NA,NA
2001,8/19/2001,218,2,2,NA,NA,2.5,2.5,NA,NA
2001,8/20/2001,218,6,6,NA,NA,2.9,2.9,NA,NA
2001,8/21/2001,218,4,4,NA,NA,3.5,3.5,NA,NA
2001,8/22/2001,218,8,8,NA,NA,2.2,2.2,NA,NA
2001,8/23/2001,218,12,13,NA,NA,2.2,2.2,NA,NA
2001,8/24/2001,218,6.5,7,NA,NA,2,2,NA,NA
2001,8/25/2001,218,11,11,NA,NA,2.5,2.5,NA,NA
2001,8/26/2001,218,18,19,NA,NA,3.2,3.2,NA,NA
2001,8/27/2001,218,19,17,NA,NA,2.6,2.5,NA,NA
2001,8/28/2001,218,16,16,NA,NA,2.8,2.8,NA,NA
2001,6/28/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,6/29/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,6/30/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/1/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/2/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/3/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/4/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/5/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/6/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/7/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/8/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/9/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/10/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/11/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/12/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/13/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/14/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/15/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/16/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/17/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/18/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/19/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/20/2001,220,6.2,6.3,9.7,NA,9,8.9,6.1,NA
2001,7/21/2001,220,5,5,5.1,NA,10.2,10.2,10,NA
2001,7/22/2001,220,6.5,6.5,7.4,NA,10.4,10.3,9.5,NA
2001,7/23/2001,220,6.2,6.5,6.8,NA,10.2,10.1,10,NA
2001,7/24/2001,220,6.6,6.6,6.6,NA,9.4,9.4,9.4,NA
2001,7/25/2001,220,6.1,6.1,6.1,NA,9.4,9.4,9.4,NA
2001,7/26/2001,220,9,9.1,NA,NA,8.9,8.4,NA,NA
2001,7/27/2001,220,8.2,8.3,NA,NA,10,9.9,NA,NA
2001,7/28/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/29/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/30/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/31/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,8/1/2001,220,NA,NA,NA,NA,7.1,7,7,NA
2001,8/2/2001,220,6.1,6.2,6.3,NA,6.3,6.1,6,NA
2001,8/3/2001,220,NA,NA,NA,NA,6.7,6.7,6.1,NA
2001,8/4/2001,220,NA,NA,NA,NA,6.2,6.2,6.2,NA
2001,8/5/2001,220,4.5,4.5,4.7,NA,6.5,6.5,6.4,NA
2001,8/6/2001,220,8.8,8.8,9.1,NA,7.2,7.2,7.1,NA
2001,8/7/2001,220,8,8.1,10.6,NA,7.9,7.9,6.9,NA
2001,8/8/2001,220,10.4,11,11.9,NA,8.2,7.9,7.4,NA
2001,8/9/2001,220,NA,NA,NA,NA,9.9,8.8,7.4,NA
2001,8/10/2001,220,8.8,8.8,8.8,NA,8.9,8.9,8.9,NA
2001,8/11/2001,220,20,22,NA,NA,NA,NA,NA,NA
2001,8/12/2001,220,8,8,NA,NA,8.5,8.2,NA,NA
2001,8/13/2001,220,11,12,NA,NA,6,6,NA,NA
2001,8/14/2001,220,20,20,NA,NA,5.1,5.3,NA,NA
2001,8/15/2001,220,9,9,NA,NA,4.5,4.5,NA,NA
2001,8/16/2001,220,2,2,NA,NA,4.9,4.7,NA,NA
2001,8/17/2001,220,2,7,NA,NA,4,3.8,NA,NA
2001,8/18/2001,220,9,9,NA,NA,2.3,2.3,NA,NA
2001,8/19/2001,220,2,2,NA,NA,2.5,2.5,NA,NA
2001,8/20/2001,220,10.5,2,NA,NA,2,NA,NA,NA
2001,8/21/2001,220,20,20,NA,NA,2.2,2.2,NA,NA
2001,8/22/2001,220,15,15,NA,NA,3,3,NA,NA
2001,8/23/2001,220,19,19,NA,NA,1.2,1.2,NA,NA
2001,8/24/2001,220,22,22,NA,NA,1.5,1.5,NA,NA
2001,8/25/2001,220,19,19,NA,NA,2.1,2.1,NA,NA
2001,8/26/2001,220,35,36,NA,NA,0.5,0.5,NA,NA
2001,8/27/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,8/28/2001,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,6/28/2001,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,6/29/2001,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,6/30/2001,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/1/2001,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/2/2001,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/3/2001,230,0.2,0.2,NA,NA,10.2,10.2,NA,NA
2001,7/4/2001,230,0.1,0.1,NA,NA,5.8,5.9,NA,NA
2001,7/5/2001,230,0.2,0.2,NA,NA,6.9,6.9,NA,NA
2001,7/6/2001,230,0.1,0.1,NA,NA,5.4,5.4,NA,NA
2001,7/7/2001,230,0.1,0.1,NA,NA,5.2,5.2,NA,NA
2001,7/8/2001,230,0.1,0.1,NA,NA,4,4,NA,NA
2001,7/9/2001,230,0.1,0.1,NA,NA,4.1,4.1,NA,NA
2001,7/10/2001,230,0.1,0.1,NA,NA,1.9,1.9,NA,NA
2001,7/11/2001,230,0.8,0.8,NA,NA,1.1,1.1,NA,NA
2001,7/12/2001,230,0.9,0.9,NA,NA,2.9,2.9,NA,NA
2001,7/13/2001,230,0.9,0.9,NA,NA,3,3,NA,NA
2001,7/14/2001,230,0.4,0.4,NA,NA,4.9,4.9,NA,NA
2001,7/15/2001,230,0.1,0.1,NA,NA,7,7,NA,NA
2001,7/16/2001,230,2.8,3,NA,NA,8.4,8.1,NA,NA
2001,7/17/2001,230,0.4,0.4,NA,NA,12.9,12.9,NA,NA
2001,7/18/2001,230,0.5,0.5,NA,NA,10.6,10.6,NA,NA
2001,7/19/2001,230,1.2,1.3,NA,NA,11.6,11.5,NA,NA
2001,7/20/2001,230,0.2,0.2,NA,NA,14.7,14.7,NA,NA
2001,7/21/2001,230,3.2,3.2,NA,NA,13.8,13.8,NA,NA
2001,7/22/2001,230,0.5,2.7,NA,NA,14.9,13.7,NA,NA
2001,7/23/2001,230,2.1,2.2,NA,NA,13.4,13.5,NA,NA
2001,7/24/2001,230,0.7,0.7,NA,NA,11.4,11.4,NA,NA
2001,7/25/2001,230,0.1,0.1,NA,NA,10.5,10.5,NA,NA
2001,7/26/2001,230,0.4,1.1,NA,NA,9.6,9.5,NA,NA
2001,7/27/2001,230,0.9,0.9,NA,NA,12.2,12.2,NA,NA
2001,7/28/2001,230,0.2,0.2,0.2,NA,9.6,9.6,9.6,NA
2001,7/29/2001,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/30/2001,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/31/2001,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,8/1/2001,230,NA,NA,NA,NA,7.3,NA,NA,NA
2001,8/2/2001,230,NA,NA,NA,NA,6.1,5.8,NA,NA
2001,8/3/2001,230,NA,NA,NA,NA,7,7,NA,NA
2001,8/4/2001,230,NA,NA,NA,NA,6.1,6.1,6.1,NA
2001,8/5/2001,230,7,7,NA,NA,5.9,5.8,NA,NA
2001,8/6/2001,230,4.7,4.7,NA,NA,7.9,7.8,NA,NA
2001,8/7/2001,230,0.8,0.8,NA,NA,9.2,9.2,NA,NA
2001,8/8/2001,230,5.1,5.7,NA,NA,9.1,8.9,NA,NA
2001,8/9/2001,230,1.3,9.6,NA,NA,10.4,6.8,NA,NA
2001,8/10/2001,230,NA,NA,NA,NA,10,9.5,9.1,NA
2001,8/11/2001,230,3,16,NA,NA,9.9,7,NA,NA
2001,8/12/2001,230,6,7,NA,NA,12.5,12.2,NA,NA
2001,8/13/2001,230,2,12,NA,NA,6.5,5.5,NA,NA
2001,8/14/2001,230,2,2,NA,NA,7,6.5,NA,NA
2001,8/15/2001,230,2,2,NA,NA,5.5,5.5,NA,NA
2001,8/16/2001,230,2,2,NA,NA,3.5,3.5,NA,NA
2001,8/17/2001,230,2,2,NA,NA,3.5,3.5,NA,NA
2001,8/18/2001,230,3,3,NA,NA,2.5,2.5,NA,NA
2001,8/19/2001,230,2,2,NA,NA,3.8,3.8,NA,NA
2001,8/20/2001,230,3,3,NA,NA,4,4,NA,NA
2001,8/21/2001,230,2,2,NA,NA,3,3,NA,NA
2001,8/22/2001,230,4,4,NA,NA,2.8,2.8,NA,NA
2001,8/23/2001,230,2,14,NA,NA,2.3,2.3,NA,NA
2001,8/24/2001,230,27,28,NA,NA,1.2,1,NA,NA
2001,8/25/2001,230,22,24,NA,NA,1.5,1.7,NA,NA
2001,8/26/2001,230,2,2,NA,NA,4.2,4.2,NA,NA
2001,8/27/2001,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,8/28/2001,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,6/28/2001,231,0.3,0.3,NA,NA,4.6,4.6,NA,NA
2001,6/29/2001,231,0.1,0.1,NA,NA,5.4,5.4,NA,NA
2001,6/30/2001,231,0.2,0.2,NA,NA,6,6,NA,NA
2001,7/1/2001,231,0.2,0.2,NA,NA,7,7,NA,NA
2001,7/2/2001,231,0.2,0.2,NA,NA,13.3,13.3,NA,NA
2001,7/3/2001,231,0.1,0.2,NA,NA,8.7,8.6,NA,NA
2001,7/4/2001,231,0.2,0.2,NA,NA,4.6,4.6,NA,NA
2001,7/5/2001,231,0.2,0.2,NA,NA,6.6,6.6,NA,NA
2001,7/6/2001,231,0.1,0.1,NA,NA,6.6,6.6,NA,NA
2001,7/7/2001,231,0.2,0.2,NA,NA,4.7,4.7,NA,NA
2001,7/8/2001,231,0.2,0.2,NA,NA,3.3,3.3,NA,NA
2001,7/9/2001,231,0.2,0.2,NA,NA,3.8,3.8,NA,NA
2001,7/10/2001,231,0.1,0.1,NA,NA,2,2,NA,NA
2001,7/11/2001,231,0.2,0.2,NA,NA,2.9,2.9,NA,NA
2001,7/12/2001,231,0.2,0.2,NA,NA,3.6,3.6,NA,NA
2001,7/13/2001,231,0.2,0.2,NA,NA,3.8,3.8,NA,NA
2001,7/14/2001,231,0.2,0.2,NA,NA,5.2,5.2,NA,NA
2001,7/15/2001,231,0.9,0.9,NA,NA,4.6,4.6,NA,NA
2001,7/16/2001,231,2.4,4.9,NA,NA,10.1,7.2,NA,NA
2001,7/17/2001,231,0.6,2,NA,NA,12.2,11.2,NA,NA
2001,7/18/2001,231,0.2,0.2,NA,NA,9.3,9.3,NA,NA
2001,7/19/2001,231,0.1,0.1,NA,NA,13.5,13.5,NA,NA
2001,7/20/2001,231,0.7,0.7,NA,NA,13.5,13.5,NA,NA
2001,7/21/2001,231,1.5,1.5,NA,NA,13.7,13.7,NA,NA
2001,7/22/2001,231,0.5,0.5,NA,NA,14.2,14.2,NA,NA
2001,7/23/2001,231,1.1,3.2,NA,NA,13.8,13,NA,NA
2001,7/24/2001,231,0.4,0.4,NA,NA,11.5,11.5,NA,NA
2001,7/25/2001,231,0.2,0.2,NA,NA,9.4,9.3,NA,NA
2001,7/26/2001,231,0.2,0.2,NA,NA,9.1,9.1,NA,NA
2001,7/27/2001,231,0.7,1.1,NA,NA,12.1,12.1,NA,NA
2001,7/28/2001,231,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/29/2001,231,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/30/2001,231,NA,NA,NA,NA,NA,NA,NA,NA
2001,7/31/2001,231,NA,NA,NA,NA,NA,NA,NA,NA
2001,8/1/2001,231,NA,NA,NA,NA,NA,NA,NA,NA
2001,8/2/2001,231,NA,NA,NA,NA,6.1,6.1,NA,NA
2001,8/3/2001,231,NA,NA,NA,NA,7.2,7.2,NA,NA
2001,8/4/2001,231,NA,NA,NA,NA,6.4,6.4,NA,NA
2001,8/5/2001,231,1,1,NA,NA,7,7,NA,NA
2001,8/6/2001,231,5.6,5.6,5.6,NA,7.7,7.6,7.6,NA
2001,8/7/2001,231,1.5,2.6,NA,NA,9,8.5,NA,NA
2001,8/8/2001,231,6.6,6.6,NA,NA,8.7,8.7,NA,NA
2001,8/9/2001,231,1.1,1.2,NA,NA,10.5,10.2,NA,NA
2001,8/10/2001,231,12,13,NA,NA,8.7,7.6,NA,NA
2001,8/11/2001,231,5,12,NA,NA,11.2,9.6,NA,NA
2001,8/12/2001,231,7,11,NA,NA,11.6,11.3,NA,NA
2001,8/13/2001,231,2,2,NA,NA,6.5,6.5,NA,NA
2001,8/14/2001,231,2,2,NA,NA,7,7,NA,NA
2001,8/15/2001,231,2,2,NA,NA,5.5,5,NA,NA
2001,8/16/2001,231,2,2,NA,NA,3.5,3.5,NA,NA
2001,8/17/2001,231,2,2,NA,NA,NA,NA,NA,NA
2001,8/18/2001,231,2,2,NA,NA,3,3,NA,NA
2001,8/19/2001,231,2,2,NA,NA,4,4,NA,NA
2001,8/20/2001,231,2,2,NA,NA,NA,NA,NA,NA
2001,8/21/2001,231,2,2,NA,NA,2.5,2.5,NA,NA
2001,8/22/2001,231,2,2,NA,NA,1.8,1.8,NA,NA
2001,8/23/2001,231,2,2,NA,NA,0.8,0.8,NA,NA
2001,8/24/2001,231,5,6,NA,NA,1.6,1.6,NA,NA
2001,8/25/2001,231,9,10,NA,NA,2,2,NA,NA
2001,8/26/2001,231,NA,NA,NA,NA,NA,NA,NA,NA
2001,8/27/2001,231,NA,NA,NA,NA,NA,NA,NA,NA
2001,8/28/2001,231,NA,NA,NA,NA,NA,NA,NA,NA
2002,6/30/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/1/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/2/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/3/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/4/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/5/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/6/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/7/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/8/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/9/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/10/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/11/2002,214,0.7,0.7,NA,NA,6.3,6.4,NA,NA
2002,7/12/2002,214,5,14,NA,NA,5.8,4.9,NA,NA
2002,7/13/2002,214,20.5,22.1,NA,NA,3.8,3.8,NA,NA
2002,7/14/2002,214,20.9,22.8,NA,NA,4.8,4.4,NA,NA
2002,7/15/2002,214,22.9,23.9,NA,NA,6.9,6.6,NA,NA
2002,7/16/2002,214,28.4,26.4,NA,NA,3.7,3.6,NA,NA
2002,7/17/2002,214,20.1,26.1,NA,NA,8.6,7,NA,NA
2002,7/18/2002,214,25.9,27.6,NA,NA,7.3,5.9,NA,NA
2002,7/19/2002,214,2.7,22.9,NA,NA,10.8,10,NA,NA
2002,7/20/2002,214,2.1,19.3,NA,NA,11.6,11.6,NA,NA
2002,7/21/2002,214,18.9,18.9,NA,NA,10.8,10.8,NA,NA
2002,7/22/2002,214,8.4,13.5,NA,NA,7.9,8.6,NA,NA
2002,7/23/2002,214,9.8,9.9,NA,NA,9.4,9.4,NA,NA
2002,7/24/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/25/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/26/2002,214,18.1,18.1,18.5,NA,7.2,7.2,7.2,NA
2002,7/27/2002,214,2.8,17.9,NA,NA,6.2,7.8,NA,NA
2002,7/28/2002,214,7.7,18,NA,NA,8.6,9.1,NA,NA
2002,7/29/2002,214,1.4,1.4,NA,NA,8.9,8.9,NA,NA
2002,7/30/2002,214,0.2,0.2,NA,NA,8.3,8.3,NA,NA
2002,7/31/2002,214,0.7,12.5,NA,NA,9.7,8.6,NA,NA
2002,8/1/2002,214,15.2,15,NA,NA,8.5,8.1,NA,NA
2002,8/2/2002,214,15.3,15.3,NA,NA,11.8,11.8,NA,NA
2002,8/3/2002,214,13.8,13.8,NA,NA,12.3,12.3,NA,NA
2002,8/4/2002,214,13.8,13.7,13.7,NA,9.7,9.8,9.8,NA
2002,8/5/2002,214,14,14,14,NA,7.1,7.1,7.1,NA
2002,8/6/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/7/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/8/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/9/2002,214,NA,NA,NA,NA,5.7,5.7,NA,NA
2002,8/10/2002,214,17.4,17.7,NA,NA,7,7,NA,NA
2002,8/11/2002,214,9.5,17.1,NA,NA,6.1,6.9,NA,NA
2002,8/12/2002,214,7.4,7.4,NA,NA,5.7,5.7,NA,NA
2002,8/13/2002,214,11.9,11.9,NA,NA,7.8,7.8,NA,NA
2002,8/14/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/15/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/16/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/17/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/18/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/19/2002,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/20/2002,214,3.8,4.4,NA,NA,3.1,3,NA,NA
2002,8/21/2002,214,9.6,9.7,NA,NA,3.3,3.3,NA,NA
2002,8/22/2002,214,6.3,7.1,7.6,NA,3.9,4,4,NA
2002,8/23/2002,214,8.9,9,NA,NA,4.8,4.8,NA,NA
2002,8/24/2002,214,9.4,9.4,NA,NA,5,5,NA,NA
2002,8/25/2002,214,10.1,10.1,NA,NA,5.6,5.6,NA,NA
2002,8/26/2002,214,13.5,15.1,NA,NA,6.5,5.9,NA,NA
2002,8/27/2002,214,13.6,19.9,NA,NA,6.2,5.4,NA,NA
2002,8/28/2002,214,13.2,16.1,NA,NA,5.8,5.8,NA,NA
2002,6/30/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/1/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/2/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/3/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/4/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/5/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/6/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/7/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/8/2002,218,5.6,4.9,NA,NA,5.2,4.9,NA,NA
2002,7/9/2002,218,11.3,11.5,NA,NA,2.8,2.7,NA,NA
2002,7/10/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/11/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/12/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/13/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/14/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/15/2002,218,10.5,8.3,NA,NA,12.4,18.8,NA,NA
2002,7/16/2002,218,6.8,21.5,NA,NA,13.1,8,NA,NA
2002,7/17/2002,218,8.5,10.1,NA,NA,11,11.6,NA,NA
2002,7/18/2002,218,20.1,20.2,NA,NA,8.9,8.9,NA,NA
2002,7/19/2002,218,13.8,18.7,NA,NA,10,10.5,NA,NA
2002,7/20/2002,218,19.2,19.2,NA,NA,10.8,10.6,NA,NA
2002,7/21/2002,218,9.3,18.6,NA,NA,11.1,10.9,NA,NA
2002,7/22/2002,218,19.1,18.8,NA,NA,8.1,8.1,NA,NA
2002,7/23/2002,218,17.4,17.4,NA,NA,8.5,8.5,NA,NA
2002,7/24/2002,218,19.8,19.7,NA,NA,7.6,7.6,NA,NA
2002,7/25/2002,218,18.8,18.8,NA,NA,6.4,6.4,NA,NA
2002,7/26/2002,218,19.5,19.2,NA,NA,6.4,6.4,NA,NA
2002,7/27/2002,218,19.5,19.1,NA,NA,5.8,5.6,NA,NA
2002,7/28/2002,218,19.4,19.4,NA,NA,6.4,6.3,NA,NA
2002,7/29/2002,218,17.4,17.2,NA,NA,7.1,7,NA,NA
2002,7/30/2002,218,18.2,18.1,NA,NA,7.3,7.3,NA,NA
2002,7/31/2002,218,12.8,13.7,NA,NA,8.4,8.5,NA,NA
2002,8/1/2002,218,13.3,13.2,NA,NA,9.8,9.7,NA,NA
2002,8/2/2002,218,16.2,16.1,NA,NA,10.6,10.6,NA,NA
2002,8/3/2002,218,18,17.8,NA,NA,10,10,NA,NA
2002,8/4/2002,218,17.3,17.3,17.5,NA,9.4,9.4,9.4,NA
2002,8/5/2002,218,16.9,16.9,16.9,NA,7.2,7.2,7.2,NA
2002,8/6/2002,218,17.7,17.7,17.6,NA,6.4,6.3,6.3,NA
2002,8/7/2002,218,19,18.9,NA,NA,6.4,6.4,NA,NA
2002,8/8/2002,218,18.7,16.5,NA,NA,6.5,6.4,NA,NA
2002,8/9/2002,218,NA,NA,NA,NA,4.4,5,NA,NA
2002,8/10/2002,218,19,19,NA,NA,6.5,6.4,NA,NA
2002,8/11/2002,218,18.9,18.9,NA,NA,5.8,5.8,NA,NA
2002,8/12/2002,218,15.9,16,NA,NA,5.6,5.6,NA,NA
2002,8/13/2002,218,16.5,16.5,NA,NA,5.1,5.1,NA,NA
2002,8/14/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/15/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/16/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/17/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/18/2002,218,18.6,20.3,24.6,NA,3.9,3.9,4.5,NA
2002,8/19/2002,218,11.8,12.4,24.1,NA,3.8,3.7,4.5,NA
2002,8/20/2002,218,8.3,8.3,NA,NA,3.2,3.2,3.6,NA
2002,8/21/2002,218,8.4,9.7,NA,NA,3.5,3.7,NA,NA
2002,8/22/2002,218,7.2,7.2,NA,NA,3.8,3.7,NA,NA
2002,8/23/2002,218,9.5,10.3,NA,NA,4.8,4.6,NA,NA
2002,8/24/2002,218,7.3,7.4,NA,NA,4.9,4.9,NA,NA
2002,8/25/2002,218,20.5,20.4,20.6,NA,3.9,3.8,NA,NA
2002,8/26/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/27/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,8/28/2002,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,6/30/2002,220,NA,NA,NA,NA,NA,NA,NA,NA
2002,7/1/2002,220,NA,NA,NA,NA,NA,NA,NA,NA
